mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.194225025177002,0.0345123970822953,0.11866741180419922,0.002243551981698248,0.0508152912751529,5.904041829215445e-05,poly,"{'C': 0.0508152912751529, 'gamma': 5.904041829215445e-05, 'kernel': 'poly'}",-0.049645143100564004,-0.008400062270389919,-0.037541039601700854,-0.028442399967673948,-0.03104920172987402,-0.03101556933404055,0.013473873031972257,85
1.201526403427124,0.015351121358138235,0.12093205451965332,0.00452108186487238,5.7575678354598265,3.341528933058953e-05,poly,"{'C': 5.7575678354598265, 'gamma': 3.341528933058953e-05, 'kernel': 'poly'}",-0.04964328368456816,-0.008399925296986632,-0.037540541809344186,-0.028441480216182313,-0.03104755978479079,-0.031014558158374415,0.01347339093177578,78
1.4226707458496093,0.018691856809098514,0.19205217361450194,0.011163613173175033,3.695843375802831,0.03840906975274523,rbf,"{'C': 3.695843375802831, 'gamma': 0.03840906975274523, 'kernel': 'rbf'}",0.8359063914534648,0.9308401089745237,0.9359099465743196,0.940648363838687,0.9314207753835106,0.9149451172449012,0.03967719547092907,9
1.1772534847259521,0.042316840422567725,0.09250669479370117,0.008468178071013912,0.9416855000145938,0.014366239783641432,linear,"{'C': 0.9416855000145938, 'gamma': 0.014366239783641432, 'kernel': 'linear'}",0.9307670480473181,0.9258337718127354,0.9274360378990902,0.9338788330925506,0.9225898726966064,0.9281011127096601,0.003910145515845873,2
1.2550373554229737,0.07931560960996993,0.09479084014892578,0.0055474782299701824,4.072489500482908,0.09129644773281628,poly,"{'C': 4.072489500482908, 'gamma': 0.09129644773281628, 'kernel': 'poly'}",0.2158837607503321,-0.2679939349792222,0.779710388106201,0.8365650813469496,0.7536679941011089,0.46356665786507384,0.42889653435357156,34
1.4323309898376464,0.13301354488581765,0.18425240516662597,0.004020746076203706,3.222577048067404,0.001187925509426097,rbf,"{'C': 3.222577048067404, 'gamma': 0.001187925509426097, 'kernel': 'rbf'}",0.8893166791322318,0.8943802928537694,0.8971841347975353,0.9034712720720623,0.8934196331805593,0.8955544024072317,0.004694205310892894,14
1.8997304916381836,0.04802269137579152,0.22751717567443847,0.03676069624734206,0.030554201719838255,8.669533084979,rbf,"{'C': 0.030554201719838255, 'gamma': 8.669533084979, 'kernel': 'rbf'}",-0.04913665976539705,-0.007450456902284852,-0.03591380130312172,-0.027190050388711917,-0.029457971826251983,-0.029829788037153505,0.013547777954651587,60
1.3574001789093018,0.015537248526595937,0.18345847129821777,0.004167970405494939,1.3087916901996794,0.0070890664452329015,rbf,"{'C': 1.3087916901996794, 'gamma': 0.0070890664452329015, 'kernel': 'rbf'}",0.8726817950040768,0.8999568356381965,0.9160633930160523,0.9229212241007143,0.9133643462112725,0.9049975187940624,0.017795679677913127,11
0.6173228263854981,0.013242524949769054,0.024665069580078126,0.0011635706860438745,375.6730601512482,0.0004947644059854922,linear,"{'C': 375.6730601512482, 'gamma': 0.0004947644059854922, 'kernel': 'linear'}",0.3192512048673156,-1.1684120256951962,0.7127640495330985,0.8279996185210343,0.7608985958353502,0.29050028861232047,0.7506981466476635,42
1.193895435333252,0.010511449560157473,0.12624564170837402,0.01425311953650516,0.024177070047979234,0.00010515781100492421,poly,"{'C': 0.024177070047979234, 'gamma': 0.00010515781100492421, 'kernel': 'poly'}",-0.04964498245039084,-0.008400050436134343,-0.03754099659335686,-0.028442320502830576,-0.031049059868794915,-0.031015481970301507,0.01347383137880911,81
1.2835976600646972,0.040374684030589414,0.11684985160827636,0.0018553428027285655,1.3477090130988731e-06,4.989475628275359,poly,"{'C': 1.3477090130988731e-06, 'gamma': 4.989475628275359, 'kernel': 'poly'}",0.7269205382625054,0.6010780145618192,0.8092874522591682,0.8947375608878809,0.8833978045956437,0.7830842741134034,0.1090839228584871,29
1.5044501781463624,0.028721482019382412,0.18847336769104003,0.007024939294331629,0.00012300047845369928,1.228085583853995e-06,rbf,"{'C': 0.00012300047845369928, 'gamma': 1.228085583853995e-06, 'kernel': 'rbf'}",-0.04964499737213868,-0.008399831768033383,-0.03754082689215199,-0.02844221547867809,-0.031049031659958537,-0.031015380634192135,0.01347389647054631,80
1.3766892910003663,0.01353268355069061,0.18381719589233397,0.003993586381233023,1.6304520261914135e-05,0.33635197053231697,rbf,"{'C': 1.6304520261914135e-05, 'gamma': 0.33635197053231697, 'kernel': 'rbf'}",-0.0495835532528055,-0.00824284618583504,-0.037300560282506945,-0.028238362149195728,-0.030893782081997,-0.030851820790468044,0.013494159488974013,63
1.7599565505981445,0.13426779270666525,0.19736456871032715,0.016659802573943363,9.386198079907186e-05,6.6301415131194865,rbf,"{'C': 9.386198079907186e-05, 'gamma': 6.6301415131194865, 'kernel': 'rbf'}",-0.04964791319740014,-0.008396426265326662,-0.03753633813764656,-0.028439317271657272,-0.031044121190404672,-0.03101282321248706,0.013475519648510929,75
1.2051007270812988,0.036028766950780146,0.1282109260559082,0.010540706651829025,9.354478773013306e-05,0.21465674666233622,poly,"{'C': 9.354478773013306e-05, 'gamma': 0.21465674666233622, 'kernel': 'poly'}",0.016560848307487053,0.10079485770243957,0.28201092753168366,0.5300891213869106,0.744488059968788,0.33478876297946175,0.270112345976797,41
